"promt","id"
"photo of misrori person  inspired by  Titian, Alex Grey, Anne Bachelier, Greg Girard, William Steig, Hugh Ferriss, Tara McPherson iridescent accents, volcanic landscape, glitch art, cottagecore!!, photograph, A few roses, cracked ice, ceremonial symbols, walking on the starlight, glossy material, warm led lighting, tribal panther make up","001"
"photo of misrori person  inspired by  Zhelong Xu, Jeff Kinney, Jimmy Lawlor, Shepard Fairey, Tokujin Yoshioka, Jeff Simpson, Karl Schmidt-Rottluff by Makoto Shinkai, made in Maya, interior architecture, graphic design, 4K symmetrical portrait, artstation trending, Tomas Honz, walking on the starlight, photorealistic","002"
"portrai photo of misrori person inspired by  Adrian Ghenie, Randolph Caldecott, Chris Moore mindar mumford. helmet, rei kawakubo, natural soft rim light, on black canvas, realistic eyes, shafts of lighting, dark background, Phuoc Quan, blue on red, 4k real-time graphics, ultra - detailed","003"
"photo of misrori person  inspired by  David A. Hardy, Gwenda Morgan, Robert Farkas, Cindy Sherman 3d printed canopy, cyber punk -, unreal engine --ar 9:16, high contrast, baroque art jewelry, exoskeleton, intricate abstract, Whimsical Art, and CloverWorks, octane rendered, highly detailed, sharp Artem Demura, small smile, octane render, kitchen and living room","004"
"photo of misrori person  inspired by  Rafael Albuquerque, Mati Klarwein, Masamune Shirow, André Lhote, Max Weber, Hans Baluschek, David Driskell, Mark Rothko throne and altar, artstation trending, colour bloom drone tech, dramatic lighting, smooth landscape, in the style of artgerm, Vincent Callebaut, kodak close, baroque art jewelry, person in foreground","005"
"photo of misrori person  inspired by  Julie Bell, J.M.W. Turner, Bill Watterson, Brian Froud, Jenny Saville octane skeleton, reptile concept detail, intricate giygas render, Hiroshi Yoshida, Blender and Photoshop, background, beautiful bright colors, key insect, Armageddon, 3 5 mm film photography, Nausicaa Ghibli","006"
"portrai photo of misrori person inspired by  Robert Maguire, Grandma Moses, Alexandre Antigna, Moebius, Shin Jeongho, Casey Weldon of very up, falling stars, chic strapless dress, 8 a 3 d outfit, space mumford. gems, extremely high detail, of character, by james gurney, insanely detailed, arney freytag","007"
"photo of misrori person  inspired by  Jaume Plensa, Nick Knight, Marat Latypov Character design, throne and altar, unreal engine, intricate wlop, marco feeling, attractive, comme de garcon, male druid, wooden floor, slight smile, ultra wide shot, photoshopped","008"
"photo of misrori person  inspired by  John Atkinson Grimshaw, Alberto Magnelli, Emil Ferris, Chad Knight, Chiharu Shiota, Andy Goldsworthy, Jacek Yerka curated collection, Noah Bradley, cyber punk -, twisted house, highly saturated colors, with rays of sunshine, guerilla group, hardware parts, simplistic, dramatic angle, body portrait, volcanic landscape, hyperealistic, interior design, centered in frame","009"
"photo of misrori person  inspired by  Diego Velázquez, Phil Noto, Joseph Cornell, Peter Sculthorpe, Alberto Burri yohji yamamoto, award winning photo, artstation, soft colors, overdetailed art, Sci Fi Art, facial muscles, cellular deterioration, 4K symmetrical portrait, hyperealistic, rendering by octane, brush effect","010"
"portrai photo of misrori person inspired by  Émile Bernard, John Anster Fitzgerald, Ossip Zadkine, Steve Henderson 8 k post - production, albedo marlboro, hq artwork, side profile, high coherence, with rays of sunshine, colorful highlights, hyperdetailed, pen and ink, cozy living room, five fingers, volcanic landscape","011"
"portrai photo of misrori person inspired by  Ernst Haas, Hendrick Avercamp, Liu Ye, Brian K. Vaughan, Ferdinand Knab, Edward Hopper / hornwort, concept art, radiant light, hyper - realistic, interior architecture, overdetailed art, white exterior facade, Fantasy art, dramatic light, rendered in vray","012"
"photo of misrori person  inspired by  Al Williamson, Eric Fischl, John Anster Fitzgerald, Marius Borgeaud, Yoji Shinkawa photoshopped, featured in dezeen, soft lighting, Blender and Photoshop, guerilla group, John J. Park, photograph, marling artstation, 3 d render beeple, award winning photo, beautiful bright colors, Greg Rutkowski, relaxing on a couch, artstation trending","013"
"photo of misrori person  inspired by  Ethan Van Sciver, Mike Mayhew, E. H. Shepard high character, Fantasy art, solarpunk in deviantart, serene landscape, Vincent Callebaut, wearing casual clothes, intricate details, streaks of light, wizard robot, compound eye of insect, high quality, Lord of the rings, art station, jon foster, A few roses","014"
"photo of misrori person  inspired by  Arnold Böcklin, Eleanor Vere Boyle, Alberto Giacometti Kentaro Miura, swirling scarlet cloth, bold shūji, by tooth wu, by MC Escher, cinematic light, extremely high detail, portra spell, d & d concept art, schematics","015"
"portrai photo of misrori person inspired by  Agostino Tassi, Yoshiyuki Tomino, Grayson Perry, Rebecca Guay, Katsuhiro Otomo, Erin Hanson, Cory Arcangel interior architecture, breathtaking landscape, rei kawakubo, twisted house, portait image, 3 d render beeple, octane blood 8 realism, full body illustration, d & d concept art, artstation hq, photograph, lens flares effects, Concept Art, intricate abstract, bright and colorful","016"
"photo of misrori person  inspired by  Makoto Shinkai, Edward Hopper, Stanisław Szukalski, Hans Arnold wood walls, rendered in Enscape, hyperrealistic, unreal --hd --ar 9:16, techwear fashion, Daniel Merriam, symmetrical, interior architecture, Matte painting, excellent composition, cozy living room, in full frame, Fashion photo shoot","017"
"portrai photo of misrori person inspired by  Ilya Kuvshinov, Seb Mckinnon, Liubov Sergeevna Popova, William Morris gold on white, Tall factory, dark background, underexposed, Krzysztof Maziarz, Herbert Bauer, new classic, tall building, ctane render, lens flares effects, high resolution, alien detailed","018"
"photo of misrori person  inspired by  Jackson Pollock, Arthur Tress, Octavio Ocampo, Giotto Di Bondone, John Duncan, Anja Percival annotations, slight smile, detailed illustration, red cosplay headwear, key insect, cinematic light, high quality, mouth closed, Daniel Merriam, new classic","019"
"portrai photo of misrori person inspired by  Ambrosius Bosschaert, Louise Dahl-Wolfe, Farel Dalrymple, Nicolas Delort, Judy Chicago, Paul Henry, Piet Mondrian, Jim Davis by james mccarthy, piercing green eyes, tarot card, blue on red, Fashion photo shoot, android jones, james jean, 4k real-time graphics, high quality","020"
"portrai photo of misrori person inspired by  Artemisia Gentileschi, Rafael Albuquerque, Jessie Willcox Smith, Jim Mahfood Edward Tufte, global illumination, Concept Art, trending in artstation, hyper-realistic, hypermaximalist, marginalia --ar 9:16, relaxing on a couch","021"
"portrai photo of misrori person inspired by  Max Weber, Konstantin Yuon, Egon Schiele intricate complexity, facing camera, dramatic light, photo - realistic, by james mccarthy, raphael lacoste, background, golden hour, exoskeleton, butterflies","022"
"photo of misrori person  inspired by  Leonora Carrington, Joseph Cornell, Ivan Albright, Jimmy Lawlor facial muscles, d & d wallpaper, warm led lighting, from octane mask, cozy living room, volumetric lighting, wearing casual clothes, movie concept art, generative design, accents providence, iridescent accents, highly station, guerilla group, warm colors","023"
"photo of misrori person  inspired by  Albert Eckhout, Frank Xavier Leyendecker, Allen Williams, Rafał Olbiński, Albert Joseph Moore, Chris Foss, Ted Nasmith, Masamune Shirow tooth robot, breathtaking, artstation hq, glowing eyes, ultrasharp, Edward Tufte, clothing design, Caspar David Friedrich, radiant eyes, baroque art jewelry, falling stars, Sci Fi Art","024"
"photo of misrori person  inspired by  Arthur Sarnoff, Gustave Buchet, Arnold Bocklin, Gustav Klimt, Nicolas de Stael, William Henry Hunt Breath of The Wild, mouth closed, ceremonial symbols, 3d printed canopy, ambient occlusion, femme fatale, 0 brainsucker render, rim lighting, night time","025"
"portrai photo of misrori person inspired by  Aron Wiesenfeld, Judy Chicago, Aleksi Briclot, Clive Madgwick art station, octane blood 8 realism, octane rendered, new media design, Fantasy art, portrait close up, featured in dezeen, defined face, warm led lighting","026"
"photo of misrori person  inspired by  Brooke Shaden, Eric Fischl, Tim Burton James Paick, fashion show, blood octane glitchcore, 3d printed canopy, marc simonetti, in the style of artgerm, hyperealistic, artstation trending, swirling scarlet cloth, natural soft rim light, dark background, by james gurney, earth architecture, interior design","027"
"photo of misrori person  inspired by  Virgil Finlay, Silvestro Lega, Thomas Gainsborough unreal --hd --ar 9:16, Arte Cyberpunk, portra spell, forest kodak skeleton, hyper realism --uplight, Doug Chiang, Yohji Yamamoto, Typography letter A, swirling scarlet cloth, with aqua water, path tracing, techwear fashion, james jean","028"
"portrai photo of misrori person inspired by  Kim Keever, Helen Frankenthaler, Arturo Souto, Daniel Clowes artstation trending, magazine shoot, art station, unreal engine —ar 16:9, octane rendered, looking away, Krzysztof Maziarz, Victo Ngai, unity engine, cyber punk, hamburger meat, Sci Fi Art, photo - realistic, studio quality, blue robes","029"
"photo of misrori person  inspired by  Richard Deacon, Flora Borsi, Aaron Horkey, Max Ernst paint flecks, background, Craig Mullins, Game of Thrones, glitch android, clean environment, aurora borialis, attractive, masterpiece, ar 2:3 --uplight","030"
"photo of misrori person  inspired by  Kilian Eng, Barry Windsor Smith, Sandy Skoglund, Tomi Ungerer, Abbott Handerson Thayer, Anne Sudworth, Alain Laboile, Hendrick Avercamp seamless pattern, clean environment, postprocessing, forest kodak skeleton, dynamic pose, lens flares effects, Doug Chiang, Tall factory, pools of crimson, / hornwort, character concepts, 16K resolution, wizard greg overlord","031"
"photo of misrori person  inspired by  Oskar Fischinger, Bryan Hitch, James Jean, Paolo Roversi, Thomas Allom darriel diano style, artstation trending, Hans Zatzka, A detailed infographic, vibrant colors, tall building, portait image, radiant eyes, shadows realism","032"
"portrai photo of misrori person inspired by  Vittorio Matteo Corcos, Hiroshi Nagai, Marjane Satrapi, Joseph Mallord William Turner, Robert Antoine Pinchon fashion study, black fishnet wear, swirling scarlet cloth, full body shot, blue on red, photo - realistic, on black canvas, Matte painting","033"
