"promt","id"
"photo of misrori person  inspired by  Simon Bisley, Grandma Moses, Marc Davis  unreal engine —ar 16:9,  80mm lense --beta --upbeta --upbeta,  volumetric lighting,  epic composition,  68 year old man","001"
"photo of misrori person  inspired by  Geof Darrow, Chris Moore, Edvard Munch  dramatic lighting,  movie concept art,  outdoor forest landscape,  design by leonardo davinci,  Greg rutkowski,  hyperdetailed,  art station,  Herbert Bauer,  futuristic,  modern art","002"
"portrai photo of misrori person inspired by  Mary Cassatt, Albert Edelfelt, Paulus Potter  wearing casual clothes,  octane render,  concept art,  8k render in octane —h 600 —test,  concept art,  hyper - realistic","003"
"photo of misrori person  inspired by  Peter Zumthor, Quentin Blake, Brian Mashburn, Armand Guillaumin  trending on Artstation,  digital painting,  raphael lacoste,  Matte painting,  hamburger meat,  artstation","004"
"photo of misrori person  inspired by  George Grosz, Gianluca Foli  Nausicaa Ghibli,  atmospheric,  zaha hadid and Santiago calatrava,  DeviantArt,  cinematic lighting,  serious eyes,  artstation","005"
"photo of misrori person  inspired by  Peter Max, Albrecht Anker, Jack Kirby, Stephen Oakley, Vincent Van Gogh  Ilya Kuvshinov,  cyber on tooth rutkowski accents, Fantasy art,  cinematic atmosphere,  photorealistic,  highly detailed","006"
"photo of misrori person  inspired by  Alberto Giacometti, Gareth Pugh  8k resolution,  fashion design,  cinematic atmosphere,  octane render,  highly intricate mindar punk,  background,  digital art,  kodak close","007"
"portrai photo of misrori person inspired by  Lady Pink, Alfred Henry Maurer  by james mccarthy,  (native american old woman ) portrait,  photorealistic,  unreal engine, cinematic lighting,  Jackson Pollock","008"
"portrai photo of misrori person inspired by  Milton Glaser, Arthur Adams, Gerhard Richter  epic composition,  digital art,  and CloverWorks,  rendered in Enscape,  smooth render,  4k detailed post processing, A detailed infographic,  cinematic lighting,  cinematic atmosphere,  from octane mask","009"
"portrai photo of misrori person inspired by  Silvestro Lega, Ambrosius Benson, René Lalique, Richard Lindner  highly detailed,  dramatic lighting,  glowing ruins,  Ilya Kuvshinov,  full body illustration,  8 k realistic,  serious eyes","010"
